tweet_id	tweet_text	original_filename
'497671828195008512'	RT @QuestionsNG: Ebola is not gonna come close to you, your friends &amp; family members IJN RT to claim #FINE_GURL_by_meadow #SuegbeNakpako_by…	2014_ebola_CF.tsv
'522457018863726592'	It's too funny to watch MSNBC put an infectious disease split a screen between an infectious disease doctor and a reporter.  #derp #Ebola	2014_ebola_CF.tsv
'523158748958031873'	RT @mikecalma: How the #GOP fights infectious disease. #Ebola http://t.co/AYEQvblXLU	2014_ebola_CF.tsv
'522494238815031296'	@drbrainbugz it's all about spin! Guaranteed tho questions will be raised re @WHO role post #ebola containment	2014_ebola_CF.tsv
'523510656771698689'	WHO officially declares that #Senegal has ended #Ebola transmission within its borders http://t.co/dhb0K0iCwb	2014_ebola_CF.tsv
'497773180501889024'	#Ebola SYMPTOMS Sudden onset of fever Weakness Muscle pain Headache Sore throat Followed by Vomitin Diarrhea Rash internal/external bleeding	2014_ebola_CF.tsv
'497196686138044418'	"Our look at ebola treatment @NewsHour: ""I was faced with resistance: 'You can’t do experiments during an outbreak.' http://t.co/YwrxyVl3nO"	2014_ebola_CF.tsv
'497433104668061696'	Outbreak of Ebola Virus Disease in Guinea: Ecology Meets Economy http://t.co/RlYhpd31vR via @MicroBytes	2014_ebola_CF.tsv
'523225601910775808'	RT @itsmenanice: Read this. From Miasma to #Ebola: The History of Racist Moral Panic Over Disease http://t.co/H4ZCfCLYVx http://t.co/u5P3hU…	2014_ebola_CF.tsv
'497672667718508544'	I am a disease, if you contact me, you will die before the next 21 days. what am i. A: HIV B: EBOLA C: AIDS	2014_ebola_CF.tsv
'522736925208113153'	BREAKING NEWS : Emergency #Quarantined #AirFranceFlight - Passenger with #Ebola Symptoms http://t.co/Aej1rg6bl8 via @rdguerard1	2014_ebola_CF.tsv
'526409454540292097'	A lot of questions and nobody cares...should work rather or dunno. I just wanna learn languages and not historyT..T	2014_ebola_CF.tsv
'497238782865711104'	RT @zeekay15: Hope they can contain d disease frm spreading RT @f4izalhassan: #Ebola #EbolaOutbreak in West Africa (at the moment) http://t…	2014_ebola_CF.tsv
'522786459288616960'	Our sister paper @nhregister is live blogging press conf. re: patient treated at Yale Medical for #ebola symptoms: http://t.co/2YsGwn9bGp	2014_ebola_CF.tsv
'498201346341101568'	@cliffmogere @malikanura876 @drsanjaygupta @McKenzieCNN @CNN Polio vaccine? There Is experimental Ebola treatment.	2014_ebola_CF.tsv
'525813496798511106'	Waiting for bae to quit giving me the silent treatment like... http://t.co/mYX0HjbOas	2014_ebola_CF.tsv
'522715467878649857'	RT @PatDollard: #Ebola Nurse May Have Infected Up To 1,000 Passengers On 6 Different Flights, Especially If Disease Is Now Airborne http://…	2014_ebola_CF.tsv
'501511633978818560'	Hit Hard By #Ebola, #Liberia Now Has A Third Treatment Center http://t.co/AccBpdS3vo	2014_ebola_CF.tsv
'523132806818697216'	You guys remember the Aztecs? The one that were wiped out by 1 disease? #Chickenpox #Ebola loll	2014_ebola_CF.tsv
'524082521206562816'	RT @Nader_AlSheraim: Symptoms of #Ebola http://t.co/beY4LDoWye	2014_ebola_CF.tsv
'522782477933633536'	"DeGette: ""no such thing as Fortress America when it comes to infectious disease"". Place to stop #Ebola is in Africa."	2014_ebola_CF.tsv
'511198481588166658'	"RT @TheGoldBrief: ""@NYCHeartMD: Airborne? CDC Now Confirms Concerns of Airborne Transmission of Ebola http://t.co/eJXysyEfJ8… $tkmr #ebola"""	2014_ebola_CF.tsv
'525942334748229632'	Heyy guys join @1800_style , participate in #SexySaturday #contest Answer few questions and Win!! @Nehaa_Smiles @silver_tickles @meghashukl	2014_ebola_CF.tsv
'523131072159035392'	RT @FahmidaIqbal: Symptoms of #Ebola. May Allah save this country http://t.co/MC9pRcwnuX	2014_ebola_CF.tsv
'522804766330863617'	RT @ChapmanNancy: #Ebola Yale research student admitted 2 Yale-New Haven Hospital in CT last night w/Ebola-like symptoms.Just returned from…	2014_ebola_CF.tsv
'522902438823882752'	RT @Montel_Williams: POTUS ON #Ebola |  no philosophical objection to a travel ban if  needed. Experts on inf. disease say not most effecti…	2014_ebola_CF.tsv
'497377634159190016'	If ur gym doesn't provide make sure to take some wit u when u are goin!A word is enough for the wise! Prevention is better than cure #Ebola	2014_ebola_CF.tsv
'501705362928832513'	RT @phoebewonderlan: As Africa's health systems struggle to cope with #ebola, it is #malaria and other diseases that kill thousands http://…	2014_ebola_CF.tsv
'497715563720749057'	{PUNCHNEWS} Expert cautions against using salt as Ebola treatment: An epidemiologist with the Kwara State mini... http://t.co/bRhjq9q5Jt	2014_ebola_CF.tsv
'497810798299709440'	CDC: Ebola Questions and Answers: http://t.co/SzV5Yz7x47  #news	2014_ebola_CF.tsv
'524114152638648320'	RT @Oxfam: 7 big questions about the #Ebola outbreak, answered http://t.co/ersJWhMYca #EndEbola	2014_ebola_CF.tsv
'497856062239043585'	"This my igbo neighbor just said someone can get Ebola disease by following footsteps, Jesus!!! what wont i hear?"""	2014_ebola_CF.tsv
'497810081359343616'	RT @drcindyhaines: Ix Prevention/Control for Hospitalized Patients w Known/Suspected Ebola ... http://t.co/lwXkSIkWDj	2014_ebola_CF.tsv
'497778898923716608'	a big fat lie “@UNCLE_AJALA: Bitterkola, a possible cure for ebola virus disease.#drinkeviron.  http://t.co/Lsc1TQQxIo cc @DrinkEviron”	2014_ebola_CF.tsv
'501585163646562305'	"#Ebola-affected countries to check for ""signs of virus"" at international departures http://t.co/ud1SlSdKZE #Africa #news #EbolaOutbreak"	2014_ebola_CF.tsv
'497225323436859392'	@tracysolomon I wonder why he's still kept in isolation.  Scary that it's similar symptoms of Ebola but it's not Ebola.  A bit skeptical.	2014_ebola_CF.tsv
'497290625013006336'	RT @drjulz_o: Quick EBOLA facts. E- Everyone can get it. B- Body fluids / contact with infected people aids transmission. O-... http://t.co…	2014_ebola_CF.tsv
'497777717350514688'	"RT @cnnbrk: Ebola patient Nancy Writebol ""still very weak"" but ""showed signs of continued improvement.""  http://t.co/FA5p9VNyEa"	2014_ebola_CF.tsv
'497100168161161217'	RT @matthewherper: Questions about this new Ebola drug http://t.co/9GpsT44IFq	2014_ebola_CF.tsv
'523106342446198785'	Family of Dallas patient zero, Thomas, to be out of quarantine Sunday; then 21 days with no symptoms of #Ebola http://t.co/WtheyUEwCJ	2014_ebola_CF.tsv
'522771940998914048'	New Novation clinical resource guide provides education about effective #Ebola prevention and protection #medical http://t.co/wqVetUzpwT	2014_ebola_CF.tsv
'526368700077973505'	@TheXFactor can i please have a #TXFSign from @jwaltonmusic ?ὤ8 it would mean so much, i ❤️ himὠD #TXFSigns Ὂ5Ὂ5	2014_ebola_CF.tsv
'497803123319402497'	Ebola .This disease will never catch u ur wife, husband, son ,daughter, or any member of ur family in the mighty... http://t.co/BpK2U54aEL	2014_ebola_CF.tsv
'526133673633280001'	@JamesGiard annnnnnd that answers that question.	2014_ebola_CF.tsv
'523489017665687553'	RT @thecrisismag: Despite easier transmission than #Ebola, Bush determined Avian flu travel ban would be ineffective. http://t.co/DcmrNCw8e…	2014_ebola_CF.tsv
'525652981912702976'	dear @KLM  i have question via DM please see:) thanks	2014_ebola_CF.tsv
'522555915460149248'	RT @LibertysLite: Reported boyfriend of 1st infected nurse admitted to hospital w/ #ebola like symptoms. #tcot #EbolaDallas #EbolaOutbreak …	2014_ebola_CF.tsv
'497375705068351489'	RT @janinebucks: Tennessee USA Knoxville http://t.co/aIESGKNQ1y #EbolaOutbreak2014 BREAKING NEWS 476 Ebola Outbreak 2014 Fear, treatment an…	2014_ebola_CF.tsv
'523777063946571776'	"RT @Scrivener3: 12/1989: ""The...mode of transmission in nature of #Ebola virus...R unknown""   .@CDCgov .@DrFriedenCDC http://t.co/VLSVnWOvI1"	2014_ebola_CF.tsv
'497173818335457280'	Airports on high alert for fliers with Ebola symptoms | Fox News Video http://t.co/6aqz1JvY3e	2014_ebola_CF.tsv
'497881390042849280'	RT @CityNews: #BREAKING: Brampton Civic Hospital treating patient who came from Africa with fever and other Ebola-like symptoms	2014_ebola_CF.tsv
'523240439991009280'	RT @GovernorPerry: Today I announced initial recommendations from the Texas Task Force on Infectious Disease. WATCH: http://t.co/zcrqG8vsH2…	2014_ebola_CF.tsv
'497105146208215040'	RT @heyyouapp: → USA http://t.co/tzF9kxpHXa → Fear, treatment and a serum: The US and the Ebola outbreak → The devastating Ebola outbreak t…	2014_ebola_CF.tsv
'523530394378178560'	More than 100 monitored for Ebola symptoms in Ohio (from @AP) #Ohio #Ebola http://t.co/UPAJil88FC	2014_ebola_CF.tsv
'497814795488612352'	RT @CDCgov: Clinicians: Have questions about #Ebola &amp; infection control? CDC experts to host special #CDCchat TODAY from 2-3PM ET.	2014_ebola_CF.tsv
'497172778055770112'	Infectious disease specialist clears up misconceptions about Ebola http://t.co/YV2otcVGh6	2014_ebola_CF.tsv
'497620836136660992'	"RT @wealticrown: ""IBO Boiz @dj_oshea1: Naija guys b lyk:i'm in2 ebola prevention business,i deal in salt&amp;bitter kola"""	2014_ebola_CF.tsv
'523215581911453697'	"RT @Latinatude: .@Morning_Joe: ""We can no longer just trust authorities, we've got to ask tough questions."" How abt starting w/ your buddy …"	2014_ebola_CF.tsv
'498033647815901185'	Emergency Helpline No. for Ebola virus treatment and information (in India) : 011-23061469 , 3205 and 1302 .... http://t.co/y9LKSMUKna	2014_ebola_CF.tsv
'497727334544601088'	Welcome to Olagbende Ayo's Blog: Expert cautions against using salt as Ebola treatment http://t.co/O42emH6i7n	2014_ebola_CF.tsv
'497778873317457920'	#Ebola outbreak began in #Guinea in December 2013. Now involves transmissions in Guinea, #Liberia, #Nigeria, #SierraLeone	2014_ebola_CF.tsv
'523974820774440960'	RT @CBSRadioNews: While the #Ebola situation in the U.S. appears to have stabilized the disease is still out of control in West Africa. htt…	2014_ebola_CF.tsv
'497275237894209536'	'No scientific evidence that the use of bitter kola would either prevent or cure Ebola virus disease'-Honourable Minister of Health	2014_ebola_CF.tsv
'522747923613089792'	RT @stephenfhayes: Good questions RT @ron_fournier: Did the White House play a role in the CDC’s delay on #Ebola response? http://t.co/G0iA…	2014_ebola_CF.tsv
'498146445611270144'	RT @NigeriaNewsdesk: Abia State Health Commissioner Okechukwu Ogah has said that there is no outbreak of Ebola disease in the state - http:…	2014_ebola_CF.tsv
'497784524101545984'	Ebola: Signs, Symptoms &amp; Prevention Tips http://t.co/9vKLxmdV6L	2014_ebola_CF.tsv
'523524722878078977'	"RT @JonathanHoenig: “@PJHubbell: What are the rules of engagement for our troops and #Ebola?"" // Sacrifice yourself, don't ask questions. #…"	2014_ebola_CF.tsv
'522853464150265856'	"Gr8 more americans can catch #Ebola    ""@cnnbrk: BO signs executive order authorizing reservists to help fight Ebola in West Africa."""	2014_ebola_CF.tsv
'514189625170997248'	U.S., Canada allow emergency use of Tekmira's Ebola treatment: (Reuters) - Canadian drugmaker Tekmira ... http://t.co/2TEe5EWgW4 #health	2014_ebola_CF.tsv
'523466236811022338'	RT @drdavidsamadi: #ebola and #travelban.   if you want to control the disease stop it at it's source.  Once the bird is out of the... http…	2014_ebola_CF.tsv
'497779342047731712'	RT @DokteCoffee: When information is quarantined, not the disease - NYT Op-Ed http://t.co/SMXekXcwTk	2014_ebola_CF.tsv
'497608678233882624'	FYI,  I still do not believe #EBOLA disease just end up in dead animals,  if it did well, it was place there in #Africa on purpose #EBOLA	2014_ebola_CF.tsv
'497707068569047040'	We have a big exhibition about Jewel. We have a lot of people from Africa. It's so dangerous about Ebola virus disease. How can I do?	2014_ebola_CF.tsv
'521674244908793856'	RT @UNDPLive: Signs in the Liberian capital Monrovia, a densely populated urban center. #EbolaResponse http://t.co/8CeGcpFsnq	2014_ebola_CF.tsv
'523250524540649474'	"RT @anticorruption: ""Corruption and #ebola are essentially the same hemorrhaging disease"" @JoshRuxin says governance is part of the cure ht…"	2014_ebola_CF.tsv
'497669060357029889'	"They both need a ""MASK""""@Questionnier: What does ""Lagbaja"" and ""Ebola"" have in common? #QnAFriday"""	2014_ebola_CF.tsv
'526526592156454912'	RT @FoxNews: New York doctor with #Ebola gets blood transfusion from aid worker who survived disease http://t.co/kDTon7YuJk	2014_ebola_CF.tsv
'526674844750848000'	NawazSharif is a NUCLEUS  of Status co, 1c he resigns, the whole status co will fall apart like a Paradigm.IK isn't alone,All Pak is wid him	2014_ebola_CF.tsv
'498125861342957568'	"""Warris dis naaa??@Adeola_Cule: Cc that tweep you think has symptoms of Ebola? #VectorIsBack"""	2014_ebola_CF.tsv
'522773336309628928'	RT @NEJM: WHO team presents new data on #Ebola symptoms, case fatality rate, incubation period. 20,000+ may be infected by Nov. http://t.co…	2014_ebola_CF.tsv
'526691336511291392'	@KremerSignsTom @MauriceKilbride @JoRyanAC @neilgiller @andrewoverman @StvRav Their defense has conceded 1 less then us! Time to look in the	2014_ebola_CF.tsv
'526590851397324800'	"RT @healthandcents: ""Ebola is Not an Airborne Disease."" Don't Bet Your Life on It! --&gt; http://t.co/ZDUhA1kvpb @FloridaRob7 #Ebola #TCOT @Ba…"	2014_ebola_CF.tsv
'497088306828828673'	Ebola is an infectious disease caused by a virus. The virus is transmitted to people from wild animals and... http://t.co/ECBDso1Ada	2014_ebola_CF.tsv
'497658109700345856'	Ebola and Marburg viruses start to show symptoms after approximately five days after infection. Chills, sore throat.	2014_ebola_CF.tsv
'498238540577533952'	RT @Jaff8: 9 Things To Know About The Killer Disease Ebola, By CNN’s Dr. Gupta http://t.co/F5wKk2KdPK	2014_ebola_CF.tsv
