text,original_filename
Fears for T N pension after talks,test.csv
Retailers Vie for Back-To-School Buyers (Reuters),test.csv
Dollar Briefly Hits 4-Wk Low Vs Euro,test.csv
Treasuries Slip as Stocks Rally,test.csv
Dollar Rises Vs Euro on Asset Flows Data,test.csv
"Dollar Near Recent Lows, Awaits ZEW/CPI",test.csv
Intel to delay product aimed for high-definition TVs,test.csv
Kmart Swings to Profit in 2Q; Stock Surges (AP),test.csv
Sneaky Credit Card Tactics,test.csv
Fund pessimism grows,test.csv
"Staples Profit Up, to Enter China Market",test.csv
"Consumer Prices Down, Industry Output Up",test.csv
Home Depot Likes High Oil,test.csv
Surviving Biotech's Downturns,test.csv
Yahoo! Ups Ante for Small Businesses,test.csv
Mills Grabs \$1B Portfolio; Taubman Likely to Lose Contracts,test.csv
SUVs: Live And Let Die,test.csv
"Dollar Stuck, CPI Offers Little Direction",test.csv
Oil Sets New Record \$47 on Iraq Threat,test.csv
SEC may put end to quid pro quo (USATODAY.com),test.csv
UPDATE: China Mobile 1H Net Up 7.8 On Subscriber Growth,test.csv
Monsanto Says Justice Dept Closes Inquiry,test.csv
Cox Communications forms committee to advise on buyout,test.csv
Ross Stores Profit Plummets 40 Percent (AP),test.csv
Kroger's Profit Up; Price Cuts Weigh,test.csv
Airlines Agree to Cut Flights at Chicago O'Hare,test.csv
Medtronic Quarterly Earnings Rise,test.csv
Airlines Agree to Cuts at O'Hare,test.csv
Medtronic Quarterly Net Up,test.csv
UPDATE 1-J amp;J in talks to buy Guidant - sources,test.csv
AMP shrugs off British debacle,test.csv
"Selling Houston Warts and All, Especially Warts",test.csv
Credit Suisse to merge CSFB unit into parent,test.csv
Holiday-Shopping Season Remains Sluggish (Reuters),test.csv
Insurer lowers hurricane estimate,test.csv
Hundreds laid off at Fleet offices,test.csv
Justices to debate mail-order wine,test.csv
Oil prices surge to a new high,test.csv
"After Wait, Google Set for Market Debut",test.csv
Qantas says record profit not big enough,test.csv
"State, drug chains reach agreement",test.csv
Qantas wants better tax treatment,test.csv
Oil Hits New High Over \$48 as Iraq Violence Flares,test.csv
Economic Indicators Declined in July,test.csv
"Colgate to Cut 4,400 Jobs, Shut Plants",test.csv
"Ohio Sues Best Buy, Alleging Used Sales (AP)",test.csv
Briefly: China interest in key Yukos unit,test.csv
Best Buy a Bad Deal?,test.csv
US unemployment claims slip but picture still murky,test.csv
Vt. sues over importing drugs,test.csv
ChevronTexaco hit with \$40.3M ruling,test.csv
Before-the Bell; Rouse Co. Shares Jump,test.csv
Services make big gains in Japan,test.csv
Google shares bounce up 18 in trading debut,test.csv
Stocks Lower as Oil Prices Steam Higher,test.csv
Hooker Furniture Puts Investors First,test.csv
Clicking on Profits,test.csv
Antidepressants to Reflect Suicide Risk,test.csv
UAL and Its Creditors Agree to 30-Day Extension,test.csv
Amazon Snaps Up China's Largest Web Retailer (NewsFactor),test.csv
Court Won't Halt Arch Coal's Triton Bid (Reuters),test.csv
Treasury Prices Take a Breather Today,test.csv
"Samsung plans to invest Won25,000bn in chips",test.csv
Chavez victory confirmed,test.csv
Wall St.'s Nest Egg - the Housing Sector,test.csv
"Ready to Bet on Alternative Energy? Well, Think Again",test.csv
China confronts lack of pipelines,test.csv
Colgate to cut workforce,test.csv
Oil prices look set to dominate,test.csv
Will High Oil Prices Lead to Recession? (AP),test.csv
Indexes in Japan fall short of hype,test.csv
Nortel Downsizes Again,test.csv
"Nikkei briefly regains 11,000 level",test.csv
"HK walks out of 68-month deflation cycle, official",test.csv
Oil prices,test.csv
Chavez rejects CD as opposition,test.csv
Productivity Growth Slowest in 2 Years (AP),test.csv
Australia Airline Announces Fuel Surcharge,test.csv
ARM agrees to buy Artisan Components for \$903 mn,test.csv
"Dollar Bounces; Eye on Data, Greenspan",test.csv
Kmart to Sell 18 Stores to Home Depot,test.csv
Rules for Overtime Pay To Take Effect Monday,test.csv
Southwest Airlines to Cut 88 Flights (Reuters),test.csv
"Seattle Times business columnist admits plagiarism, resigns",test.csv
Students Pay More for Beer Than Books,test.csv
Leeds students figure high on working curve,test.csv
Northrop Grumman Gets \$408 Million Pact,test.csv
Oil price down as Iraq fears ease,test.csv
Oil Eases as Iraq Resumes Exports,test.csv
Botswana miners 'face dismissal',test.csv
"Blue Chips Unchanged, Wal-Mart Weighs",test.csv
Observers insist: no proof of fraud in Venezuelan referendum.,test.csv
Philippine President Says Country Faces Fiscal Crisis,test.csv
Credit Card Delinquencies at a 4-Year Low,test.csv
Deal has S2io champing at the gigabit,test.csv
New Overtime Rules Take Effect,test.csv
"Dollar Holds Gains, Fed Comments Help",test.csv
Dark arts of spin evident in phoney war for Abbey,test.csv
