tweet_id	tweet_text	label
'451585608612208640'	Guys northem chile really needs a support message #PrayForChile	sympathy_and_emotional_support
'451500842395250688'	RT @Euphorian54: #Rehearsal time w/ @debbiegibson &amp; #TeamDeb for @bizarro_chile #HITPARADE &amp; @Blondieclub! #chile #santiago   http://t.co/A…	not_related_or_irrelevant
'451833189439246336'	Happy B-Day! @AllRiseSilver https://t.co/jcfCkBv4ea #HappyHyukDay	not_related_or_irrelevant
'451330668539031552'	RT @kuroab_90: My heart goes out to the victims of the 8.2 magnitude earthquake in Chile. May God be with u all. ♥ #PrayForChile	sympathy_and_emotional_support
'451489071404040192'	Chile Earthquake: 5 Dead, Several Seriously Injured http://t.co/9v1Xr25bNg	injured_or_dead_people
'451253361501675520'	RT @jarekkuzniar: Nowe ZDJĘCIA z #Chile “@RT_com: Damage &amp; fires in northern #Chile following 8.2 quake http://t.co/6pXO7G4VqV http://t.co/…	infrastructure_and_utilities_damage
'451269630560976896'	Tsunami watch continues: Chile extended its tsunami warnings for the northern region after they were lifted el... http://t.co/6gf0rgWG9Z	caution_and_advice
'451416874711252993'	"RT @laughtopia: MT - ""In prayer for #Chile and all affected by earthquakes. May all beings be safe."" ~@SpiritualNurse http://t.co/4vlGEsNhv6"	sympathy_and_emotional_support
'452348504342818817'	@mayo__31 but not his home =/	not_related_or_irrelevant
'452183730866487296'	RT @NewEarthquake: 4.7 earthquake, West Chile Rise. Apr 4 02:53 at epicenter (32m ago, 1294km Valdivia, depth 10km). http://t.co/1FYuyxacKJ	other_useful_information
'451205465381150720'	Sending and surrounding the beings of #Chile with an abundance of love, light and prayers... May all be safe. #earthquake #tsunami	sympathy_and_emotional_support
'451554289719451648'	Another large quake (7.4M) strikes the N. coast of Chile again. 6 miles deep, no threat of tsunami.	other_useful_information
'451441703309033472'	Looks fab! RT @AKTravel_UK: Welcome back!RT @CindersPaxton: #galloping through #grapevines fitting last day in #Chile http://t.co/Fj4e4JNVvZ	not_related_or_irrelevant
'451979533994840064'	#uk #tv #usa #news Chile earthquake not 'significant negative': Rame CEO  http://t.co/XpxIX2FeOX	other_useful_information
'451236703290683393'	Tsunami alert after 8.2 quake strikes off Chile - BBC News: BBC NewsTsunami alert after 8.2 quake strikes off ChileBBC NewsA quake of...	other_useful_information
'451190330079969281'	“@9NewsAUS: JUST IN: Tsunami warning has been dropped for all countries, except #Chile and #Peru. #9News” huh? Terribly written tweet?	caution_and_advice
'451297413593325568'	AT 11 - Cumbria charity backs Barnardo's to better protect kids AND worries about tsunami caused by quake near Chile http://t.co/5WOupt20oc	donation_needs_or_offers_or_volunteering_services
'451349276338036737'	my prayers goes for all the people who are severely affected by the earthquake at Chile. #PrayForChile	sympathy_and_emotional_support
'451587866888384512'	BREAKING: A 7.8-magnitude earthquake struck off Chile's northern coast Wednesday night, triggering a tsunami... http://t.co/WRbyO79to2	other_useful_information
