Tweets	partition	Topics
rt update four ebola patient discharged minister four patient undergoing treatment	train	9
rt se necesitan voluntarios en la intendencia de para repartir ayuda de gobierno	test	2
rt appalled told wounded sister amp friend leave cuz help anymore wtf	dev	4
rt fema estimate napa earthquake could billion dollar disaster	train	1
da fuck mers hearing bout disease	dev	6
rt trabajadores escondida envian camion con ayuda	train	2
please stay safe dry ph army filipino kahit na trb na mamaya safety life far precious concert	train	8
rt agonising wait continues volunteer like jiferson ensuring people prepared	train	8
holidaymaker take shelter mexico battered hurricane odile via	train	4
rt tropical depression still dumping heavy rain vietnam	train	8
nerve felt nice sick want go want push get sick ughhh	train	3
rt support donate	train	11
picture day april polar bear chile earthquake chainsaw x ray	train	3
rt offer heartfelt sympathy community affected typhoon	train	8
congrats favourite player stayed k losing voice cheering lt best luck cloud	train	5
flood kill eastern india official new delhi afp flooding eastern india killed people disp	train	5
flee home mph typhoon hit philippine via	train	8
vamos tenemos que levantarnos seguir adelante con la ayuda de dios	train	2
rt gurkha fought britain year time repaid favour donate	train	11
rt trending world wide pm gmt	train	8
rt looking brother wife everest bcamp info helpful pj amp neda jahangiri	train	11
even building seismic retrofit damaged napa earthquake	train	1
rt photo forecast track according pagasa	train	8
brahmaputra flood inundate kaziranga national park northeast news india today via	train	5
rt nepal quake china shuts everest season tibet	train	11
cyclone pam aid fly help survivor one south	train	10
napa earthquake hastens call warning system earthquake jolted cali	train	1
rt heart go everyone affected chile earthquake would helping could	train	3
rt thought prayer go people involved earthquake tsunami chile via	train	3
spread people showing symptom learn	train	9
rt nepal population child donate aid relief effort save life please rt	train	11
rt stay waking baby like	train	5
please help donate tip organisation donate	train	11
jueves viernes recibiremos alimentos perecibles frente rodoviario p ayudar pescadores de rt	train	2
prediction finally feeling better long seasick session japannzsumatrakamchatkahawaiidodecanese behave	train	0
rt news much share thing need know disease	train	6
rt emotionally stable enough watch jim pam go rough patch	train	10
south napa earthquake crack open new fear big one	train	1
typhoon ruby expected leave ph area responsibility december tuesday night	train	8
number feared missing growing name red cross family link website	train	11
rt health education fear vanuatu child cyclone survivor	train	10
prayer go chile expecting tsunami lord bless hope nothing happens havin prayer	train	3
hundred dead monsoon hit india nepal news easy	train	5
rt warning cancelled area tsunami advisory remains effect state hawaii	train	3
video de un impresionante rescate comparte con tus amigo heroico rescate perro luego de terremoto en chile	train	2
different disease come go time ebola go away	train	9
cyclone set country back year	train	10
rt let u pray mother nature spare life destruction nepal	test	11
rt dejando agua en un granito de arena saludos buena iniciativa	train	2
rt top question world asking	train	11
announcing cmx summit scholarship program nepal support new workshop party via	train	11
