0	one eight new apartment building new york built riskiest flood zone building may	test	floods
1	jhopesgalaxy mumbai gon flood soon	train	floods
2	space storm cyclone debbie seen space	train	hurricanes
3	htc wildfire mutable segmental phoneme inanimate astride considering job malleable knock cold ojqftj	train	forestfires
4	lismore northern river hit aftermath nsw premier gladysb	train	hurricanes
5	debbie cockatoo saved category cyclone died	train	hurricanes
6	video show cyclone debbie lashing north queensland town	train	hurricanes
7	jus fxckin earthquake	train	earthquakes
8	flight cancelled due cyclone debbie virginaustralia refuse refund flight awful customer service never use	test	hurricanes
9	sucker awesome sunset sending best wished qld	dev	hurricanes
10	milwaukee tool oly compact site light w flood mode radius nr lqqk	train	floods
11	rain boot necessity walked flood mine	train	floods
12	qantas announces flight cancellation following cyclone debbie	test	hurricanes
13	well earthquake cldnt ignore	test	earthquakes
14	magnitude km hi united state	train	earthquakes
15	meet cyclone debbie baby born emergency light via skinnergj	test	hurricanes
16	family preparing cyclone debbie lost home flame calmacpherson	train	hurricanes
17	flesh flood warning	test	floods
18	global warming steroid speed	dev	forestfires
19	brisbane entire education system shut due cyclone debbie	train	hurricanes
20	lived flood time fascism nazism ran meteoric course cost mankin	train	floods
21	hundred pet left behind deadly wildfire support spca donate help	train	forestfires
22	ex tracking southward	train	hurricanes
23	hope mate right	train	hurricanes
24	wow syrian refugee step amp help fort mac evacuee	train	forestfires
25	amyleeev dark sth east queensland wet thanks ex tropical cyclone debbie	train	hurricanes
26	wildfire leave post apocalyptic aftermath alberta	train	forestfires
27	hang fort mac	train	forestfires
28	cyclone debbie still brisbane km	train	hurricanes
29	rt bbcnewsaus school south east queensland closed amid fear flash flooding caused ex cyclone debbie	train	hurricanes
30	tropical cyclone debbie cause widespread damage north queensland	dev	hurricanes
31	everywhere flood like situation much rain	dev	floods
32	magnitude earthquake km nw anchorage alaska	train	earthquakes
33	think light earthquake know till refresh twitter	train	earthquakes
34	felt earthquake oakland	train	earthquakes
35	round aflqmackay match cancelled weekend newsmackay aflq	train	hurricanes
36	told screwing budget	train	forestfires
37	magnitude earthquake km ese mammoth lake ca	train	earthquakes
38	landslide warning area west u morning flood warning area south east u	train	floods
39	heavy rain flood albany home business	train	floods
40	also tonight missed earthquake ok	train	earthquakes
41	wildfire california halt production reason season	dev	forestfires
42	bowen basin coal mine hopeful reopening soon rain eas	train	hurricanes
43	debbie make landfall	test	hurricanes
44	bruh fucking earthquake	train	earthquakes
45	good shake sf	train	earthquakes
46	ok ummmmmm sky mn totally covered smoke apparently canada wildfire	train	forestfires
47	robprovince refugee flood want put b	train	floods
48	flood warning mendenhall river due glacier damned lake outburst river near flood stage th	train	floods
49	damn anxiety coming hurricane season keep increasing every time get rain get flooded	train	floods
50	amp need grocery flood	test	floods
51	wildfire canada crazy	test	forestfires
52	krank volleyball krank cancelled till notice due cyclone debbie information	train	hurricanes
53	anyone else feel earthquake	train	earthquakes
