tweet_id	tweet_text	label
'592326564110585856'	RT @divyaconnects: Reached #Kathmandu finally! Lots of Indians stranded at the airport #NepalQuake @BBCHindi http://t.co/fRpbU9aCKZ	other_useful_information
'592616512642420737'	fears for Foreigners missing in Nepal earthquake as death toll soars:	missing_trapped_or_found_people
'592686635520827393'	RT @ParisBurned: 3,700 people dead is absolutely devastating for a country that is the size of Oklahoma on the map. #Nepal	injured_or_dead_people
'593301431366635520'	Earthquake in Nepal - Please help Kapil #crowdfunding fundrazr Support and Retweet http://t.co/mFEyQ85js9 via MechanismOfWar	donation_needs_or_offers_or_volunteering_services
'592590231519555584'	Nepal’s Slowing Economy Set for Freefall Without World’s Help http://t.co/KSzIMVHGQf via @business	other_useful_information
'592637329786830848'	RT @cuteinsan: In this horrible situation in nepal our God  @Gurmeetramrahim  can help pita ji they really need your simpathy #MSGHelpEarth…	sympathy_and_emotional_support
'592955183753203715'	VIDEO REPORT Kathmandu overwhelmed by rubble after earthquake http://t.co/cYrAbG1OxZ Over 3000 dead, 6,500 plus injured #NepalEarthquake	injured_or_dead_people
'593831023286288386'	RT @Discovery: The people of Nepal need your help. Find out how you can support relief efforts &gt;&gt;  http://t.co/I4dObdcjYf http://t.co/evGc7…	donation_needs_or_offers_or_volunteering_services
'592877872538324993'	RT @RevolutionMonk: #VultureEvangelists Most disgusting creature on earth. MSM wont show this side of 'em #SoulVultures #NepalEarthquake ht…	not_related_or_irrelevant
'592645748459708416'	Nepal earthquake.  Deathtoll rises to 3,729 #NepalEarthquake  #prayfornepal earthquake	injured_or_dead_people
'593817049647820802'	RT @Refugees: Our aid lorries delivered #NepalEarthquake relief, by hand where landslides prevented vehicle access http://t.co/WpPfsXOBw6	donation_needs_or_offers_or_volunteering_services
'593470045814181888'	Food crisis imminent for 1.4 million ppl in Kathmandu.  How long would you last without food in the markets and water from the tap?	other_useful_information
'593155728128516097'	Canadian phone companies waive fees for calls to Nepal - The Globe and Mail http://t.co/y0fpu1EGIs	other_useful_information
'592329933268996096'	"RT @MrsGandhi: Word!! ""@heisenjit: Ramdev in Nepal helping people. That's more of quality work than the people talking ill about him most o…"	donation_needs_or_offers_or_volunteering_services
'593609036144214016'	RT @XuscaSoleNY: https://t.co/o1RqfCCmKm don't believe earthquakes happen naturally, not from mother Nature, they're provoked, avoid other …	other_useful_information
'592748010221740032'	Death toll soars to over 4000; quake-aid need acute in Nepal capital, more so in villages http://t.co/xKR9vDXBnB via @YahooNews	injured_or_dead_people
'592341651512659968'	RT @siobhanheanue: Kathmandu quake aftermath. Clearing rubble to search for survivors. http://t.co/oasYaNweiP	other_useful_information
'592380152480313344'	Its time to reinforce our rltns with nepal,stand by their side,lets use our exprince in kashmir,yemen and utrkhnd- Go @PMOIndia @MEAIndia	sympathy_and_emotional_support
'597666520702025728'	RT @ewnreporter: #Nepalquake This is the team heading to Nepal. ML http://t.co/pXSFVMoJDy	donation_needs_or_offers_or_volunteering_services
'593719989972013056'	@timesofindia whole world is watching great work of @RSS_Org in Nepal we are proud on RSS..	other_useful_information
'592321122906935297'	RT @elscantvicious: Pray for nepal.	sympathy_and_emotional_support
'592344656286908416'	RT @HMOIndia: Bureau of Immigration has been instructed by the HM to give gratis visas to all tourists stranded in Nepal who are coming to …	caution_and_advice
'593145585206632449'	RT @rishibagree: Instead of Food , Medicine or Tents  Ford foundation have sent 100000 copies of Bible To Nepal's Starving Citizens http://…	donation_needs_or_offers_or_volunteering_services
'592314725003722753'	#TeamYamita Reporter's Notebook: Grace and Hope Found Amid the Destruction of Nepal Quake:... http://t.co/mXf3N4LkQh Unete A #TeamYamita	sympathy_and_emotional_support
'592344219701784576'	RT @SarahSLassez: My parents are in Nepal Catherine and Jean-Louis Lassez Please help find them! #nepal #redcross #NepalEarthquake http://t…	missing_trapped_or_found_people
'592326586436820992'	Wow... praying for the people affected by the massive earthquake in #Nepal ὡ4ὉC	sympathy_and_emotional_support
'592208578728984577'	RT @jaifletcher829: Thought are with people of Nepal 	sympathy_and_emotional_support
'592310973039550464'	RT @Pakistannews: Pakistan’s two aid planes reach Nepal - Nation http://t.co/xhuZDXFFTn	donation_needs_or_offers_or_volunteering_services
'592909991968960512'	Nepal earthquake: Operation Maitri provides succor... http://t.co/vTmxbW7QWm	donation_needs_or_offers_or_volunteering_services
'593186333348114434'	RT @BJPRajnathSingh: The NDRF, Indian Army and other forces are doing a remarkable job in Nepal.	other_useful_information
'593380623923941376'	Aid with strings. Aftermath of Nepal's earthquake exposes Asia's geopolitical fault lines http://t.co/m744UJsdIx	donation_needs_or_offers_or_volunteering_services
'591940933039427584'	RT @EconomicTimes: Foreign Secy S Jaishankar: We will have 5 helicopters positioned in Kathmandu as part of our rescue ops #NepalQuake http…	displaced_people_and_evacuations
'592700745964756992'	RT @americamag: Quake Toll Rises in Nepal as Pope Francis Offers Prayers for Victims http://t.co/Xni4Ezxti4 http://t.co/ELMXXxBtxN	sympathy_and_emotional_support
'592111870376419328'	RT @LiaqatAli2015: 28/48 handful of people will believe in the Religion of God and adopt divine love. The greater majority of people will e…	not_related_or_irrelevant
'592339417756348416'	#FollowMe #FF #RT Indian carriers cap fares to and from Nepal: In a bid to pull out as man... http://t.co/ZgH0REYPd4 #FollowBack #Follow	displaced_people_and_evacuations
'592131874014629888'	Why Nepal gets such big earthquakes (+video) - Christian Science Monitor: Christian Science MonitorWhy Nepal g... http://t.co/R0UPsQxM21	not_related_or_irrelevant
'592648766169026561'	RT @TelegraphNews: Mount Everest disaster: British woman escaped death by 'outrunning' avalanche http://t.co/wBfsDtA5pv http://t.co/7KMibjf…	missing_trapped_or_found_people
'592137499322941440'	Add hit songs to your videos - FREE APP TODAY! http://t.co/dJ1DKauKxf #Nepal	not_related_or_irrelevant
'592627603317641216'	Israel evacuates surrogate-born babies and Israeli parents from Nepal See More:http://t.co/ltjN9QqZaJ #world #news #… http://t.co/8XHEQvgakw	displaced_people_and_evacuations
'593154950470848512'	RT @TIME: See India's rescue operations in the villages most affected by Nepal's deadly earthquake http://t.co/Tcirp7hceR http://t.co/LCMDo…	other_useful_information
'592378631738949632'	RT @BBCSanjoyM: And another - bit longer - tremor #NepalEarthquake	other_useful_information
'593279330186178560'	RT @curiousgawker: donate to nepal if you haven't. disease usually follows earthquakes	donation_needs_or_offers_or_volunteering_services
'592340850090225666'	RT @Habibies: Before and After of #NepalEarthquake. Pray for #Nepal. #NepalQuake #Earthquake http://t.co/9brmFn4gev	sympathy_and_emotional_support
