tweet_id	tweet_text	original_filename
'383600460340666369'	RT @Faiz_Baluch: #BalochistanEarthQuake Pakistan army is terrorizing the people by aerial firing in #Awaran https://t.co/R3R5ph8zSS http://…	2013_Pakistan_eq_CF.tsv
'383790723222364161'	#Earthquake 2013-09-28 02:39:43 (M5.0) EAST OF THE SOUTH SANDWICH ISLANDS -59.5 -19.1 (70fa9) http://t.co/uBN98fFmNj notice	2013_Pakistan_eq_CF.tsv
'384232048124518400'	#earthquake M2.2: Puerto Rico region http://t.co/f2OBUZAF7x	2013_Pakistan_eq_CF.tsv
'384860484643475456'	#PAKISTAN: #NASA releases images of Pakistan's '#Earthquake #Island'  | http://t.co/wBKdQFT7Fu | c #SCIENCE | RT |``	2013_Pakistan_eq_CF.tsv
'383407962619772928'	【#USGS #alert】 M 1.5, Central Alaska: September 27, 2013 01:43:53 GMT http://t.co/Lxne9Dghfx #earthquake #tsunami #prayfromjapan	2013_Pakistan_eq_CF.tsv
'384275270082887680'	RT @AQpk: RT @313syiSitak: #YFK volunteers share their views on #Kashmir with Farah in her live Morning Show on #ATV http://t.co/alLPKCLeDy…	2013_Pakistan_eq_CF.tsv
'382846453221036032'	@HamidMirGEO: It is ridiculous, rubbish. Now you're doing the same using #EarthQuake for ur own filthy purposes. Pardon me fr my language.	2013_Pakistan_eq_CF.tsv
'384223701144576001'	@mosharrafzaidi #Pakistan #Peshawar A Message For Terrorists &amp; Their Supporters/Sympathizers http://t.co/DakrfWGG6E	2013_Pakistan_eq_CF.tsv
'383596911598768128'	RT @CNBCPAKISTAN: Minister of State Sheikh Aftab: 9 soldiers and 4 civilians killed due to firing by Indian forces at #LoC #Pakistan	2013_Pakistan_eq_CF.tsv
'384041956038303744'	RT @kkfpk: Pic-9 #KKF send relief goods for #Balochistan Earthquake Victims #ReliefByKKF #MQM #Pakistan http://t.co/0lVb1lsY95	2013_Pakistan_eq_CF.tsv
'384607507382935552'	RT @AnasMallick: Day 7th and some parts of Balochistan hit by #EarthQuake are YET to receive relief aid. #Pakistan	2013_Pakistan_eq_CF.tsv
'383904420523544576'	RT @Emirates247: Breaking News: Powerful 6.8 #earthquake rocks #Pakistan again; Tremors in UAE? http://t.co/X08hupMdzc	2013_Pakistan_eq_CF.tsv
'383984866217295872'	what does attack on #earthquake relief means? terrorist org dnt want to let anyone do good to #Balochistan	2013_Pakistan_eq_CF.tsv
'383877756872032257'	Karachi: Magnitude 7.2 earthquake jolts different parts of Sindh, Balochistan,Awaran #Pakistan	2013_Pakistan_eq_CF.tsv
'383487691297284098'	Field Mecical Camps and lady doctors are also Reaching #Earthquake Affected Areas in #Balochistan Fed Minster Gen Rt Abdul Qadir #PMLN	2013_Pakistan_eq_CF.tsv
'383215415931195392'	RT @Baloch_istan: Interior Minister Chaudhry Nisar to visit #earthquake hit areas of #Balochistan tomorrow. (RT @khalidkhan787)	2013_Pakistan_eq_CF.tsv
'384745974133817344'	#Earthquake Births New Island off #Pakistan : Natural Hazards http://t.co/80iGIHNXPQ #NASA	2013_Pakistan_eq_CF.tsv
'384241412361170944'	Very #Sad #News : 2 consecutive #Blasts in Qisa Khawani Bazar in #Peshawar #Pakistan currently reported dead 33... http://t.co/i3C8Qwmg4O	2013_Pakistan_eq_CF.tsv
'382842369953234944'	Death toll in Pakistan #earthquake rises to 210 - http://t.co/MWhdfGlbte via @NewsCanada-Plus RT	2013_Pakistan_eq_CF.tsv
'384064514057986048'	【#USGS #alert】 M 1.8, Nevada: September 28, 2013 21:06:29 GMT http://t.co/2ps35c43VX #earthquake #tsunami #prayfromjapan	2013_Pakistan_eq_CF.tsv
'383178520358559744'	RT @realsyedasarwat: May ALLAH give them strength who's family/relatives dead in #earthquake my prayers r with them! 😔	2013_Pakistan_eq_CF.tsv
'382851000031121408'	#Earthquake risk model coming for Canada, no #flood model yet http://t.co/7NuQuVLQ60 via @CdnUnderwriter	2013_Pakistan_eq_CF.tsv
'384515622828118016'	#earthquake: USGS Earthquake Alert: M 2.8 - 55km N of Hatillo, Puerto Rico http://t.co/fCLICp4y4o	2013_Pakistan_eq_CF.tsv
'384990330962968576'	USGS reports a M2.1 #earthquake 56km SW of Valdez, Alaska on 10/1/13 @ 10:33:11 UTC http://t.co/oOKy9OV6VI #quake	2013_Pakistan_eq_CF.tsv
'384336925617713152'	#Osama Bin Laden raid #exposed as a complete lie by #Pakistan National TV  http://t.co/nUQXagaq1C	2013_Pakistan_eq_CF.tsv
'383818797448052736'	@thekiranbedi Media calls J&amp;K attack on peace process, seeing what #Pakistan said last night. Does the attack not look calculated?	2013_Pakistan_eq_CF.tsv
'382892243641569280'	#Earthquake in western #Pakistan kills 100s &amp; creates island off coast http://t.co/8aApa5jXZP	2013_Pakistan_eq_CF.tsv
'382850881323933696'	RT@UNOCHA #Pakistan: at least45 ppl hv been killed&amp;100injured following a 7.7earthquake in Balochistan Province-http://t.co/i1vs2ERpvo v @UN	2013_Pakistan_eq_CF.tsv
'383512595958730752'	USGS reports a M1.9 #earthquake 41km W of Anchorage, Alaska on 9/27/13 @ 8:39:13 UTC http://t.co/quFuoNVNP0 #quake	2013_Pakistan_eq_CF.tsv
'383725101503356928'	【#USGS #Breaking】 M 2.0, 74km SE of Whittier, Alaska http://t.co/oLVB6CkUGc #PastHour #2 #earthquake #tsunami #prayfromjapan	2013_Pakistan_eq_CF.tsv
'384805094828437504'	Deadly market bombing in Pakistan - The Age: Deadly market bombing in PakistanThe AgeDeadly market b... http://t.co/8OrihwZO9o #Pakistan	2013_Pakistan_eq_CF.tsv
'383852368552415232'	1.9 magnitude #earthquake. 84km NNW of Talkeetna, Alaska.http://t.co/Q0lBMrfNOc	2013_Pakistan_eq_CF.tsv
'383966872909004801'	2.0 magnitude #earthquake. 42 km from Hilo, HI, United States.http://t.co/iVmZohl4EL	2013_Pakistan_eq_CF.tsv
'384048769081171969'	RT @KarachiJUD: Khi:We need volunteers to support our rescue teams in #earthquake affected areas of #Balochistan. Pls contact at 0321274215.	2013_Pakistan_eq_CF.tsv
'383993008724516865'	USGS reports a M0 #earthquake 5km NW of The Geysers, California on 9/28/13 @ 16:32:33 UTC http://t.co/X0ob3jwgWK #quake	2013_Pakistan_eq_CF.tsv
'383994863982616576'	@WorldBank @UN @GlblCtzn What is UN doing about 100000 that just became homeless (+unknown death toll) in Pakistan?  #earthquake	2013_Pakistan_eq_CF.tsv
'384719876331302913'	PTI Minority MPA Exposed the Politics of ANP &amp; PPP on Dead bodies: PTI Minority MPA Exposed the... http://t.co/bjg64h1xDg #pakistan #ppp	2013_Pakistan_eq_CF.tsv
'383889652022665216'	RT @ErumManzoor: I love #Pakistan &amp; I'll serve it no matter what the circumstances are.. Its my promise to you my Dear Great Quaid http://t…	2013_Pakistan_eq_CF.tsv
'382859147173441536'	Part 1/3 .. A mere tweet may not express my deep grief for the loss of Baloch Nation due to the quake yesterday.. #balochistan #earthquake	2013_Pakistan_eq_CF.tsv
