text,original_filename
The Race is On: Second Private Team Sets Launch Date for Human Spaceflight (SPACE.com),test.csv
Ky. Company Wins Grant to Study Peptides (AP),test.csv
Prediction Unit Helps Forecast Wildfires (AP),test.csv
Calif. Aims to Limit Farm-Related Smog (AP),test.csv
Open Letter Against British Copyright Indoctrination in Schools,test.csv
Loosing the War on Terrorism,test.csv
"FOAFKey: FOAF, PGP, Key Distribution, and Bloom Filters",test.csv
E-mail scam targets police chief,test.csv
"Card fraud unit nets 36,000 cards",test.csv
Group to Propose New High-Speed Wireless Format,test.csv
"Apple Launches Graphics Software, Video Bundle",test.csv
Dutch Retailer Beats Apple to Local Download Market,test.csv
Super ant colony hits Australia,test.csv
Socialites unite dolphin groups,test.csv
Teenage T. rex's monster growth,test.csv
Scientists Discover Ganymede has a Lumpy Interior,test.csv
Mars Rovers Relay Images Through Mars Express,test.csv
Rocking the Cradle of Life,test.csv
"Storage, servers bruise HP earnings",test.csv
IBM to hire even more new workers,test.csv
Sun's Looking Glass Provides 3D View,test.csv
IBM Chips May Someday Heal Themselves,test.csv
Some People Not Eligible to Get in on Google IPO,test.csv
Rivals Try to Turn Tables on Charles Schwab,test.csv
News: Sluggish movement on power grid cyber security,test.csv
Spam suspension hits Sohu.com shares (FT.com),test.csv
Dell Exits Low-End China Consumer PC Market,test.csv
Vodafone hires Citi for Cesky bid (TheDeal.com),test.csv
Promoting a Shared Vision,test.csv
Oracle Overhauls Sales-Side Apps for CRM Suite (NewsFactor),test.csv
Indian state rolls out wireless broadband,test.csv
China's Red Flag Linux to focus on enterprise,test.csv
AOL Properties Sign Girafa For Thumbnail Search Images,test.csv
Cassini Spies Two Little Saturn Moons (AP),test.csv
Nobel Laureate Decries Stem Cell Limits (AP),test.csv
Consumers Would Pay In Phone Proposal,test.csv
Intel Delays Launch of Projection TV Chip,test.csv
China cracks down on  quot;phone sex quot; services,test.csv
TGn Sync Proposes New WLAN Standard,test.csv
IBM Buys Two Danish Services Firms,test.csv
Motorola and HP in Linux tie-up,test.csv
Microsoft Pushes Off SP2 Release,test.csv
Cassini Space Probe Spots Two New Saturn Moons (Reuters),test.csv
IBM adds midrange server to eServer lineup,test.csv
iPod Comparison,test.csv
AMD Ships Notebook Chips,test.csv
IBM Seeks To Have SCO Claims Dismissed (NewsFactor),test.csv
Real targets iPod with download price cut,test.csv
10 features for a perfect browser,test.csv
Cops Test Handheld Fingerprint Reader,test.csv
"Small computers can have multiple personalities, too",test.csv
Sun postpones September user show,test.csv
Oracle launches Business Integlligence 10g,test.csv
Microsoft finalises three-year government deal,test.csv
NASA confident of debris solution,test.csv
Drive maker files counterclaims in patent suit,test.csv
HP moves network scanning software into beta,test.csv
Strong Family Equals Strong Education,test.csv
NetRatings survey shows broadband users now a majority in US,test.csv
Stunt pilots to save sun dust,test.csv
Intuit Posts Wider Loss After Charge (Reuters),test.csv
Alaska Wildfires Grow to Record 5 Million Acres (Reuters),test.csv
"Hurricane center #39;s projection on Charley not far off, data show",test.csv
Lloyds TSB cashes in on VoIP,test.csv
NetApp CEO: No Storage Spending Shortfall (TechWeb),test.csv
Bill Clinton Helps Launch Search Engine,test.csv
"Survey: Napster, iTunes beat other download brands (MacCentral)",test.csv
Most US homes have broadband connections,test.csv
Bluetooth flying bot creates buzz,test.csv
Caterpillar snaps up another remanufacturer of engines,test.csv
Explorers Find Ancient City in Remote Peru Jungle (Reuters),test.csv
Drugstore Offers New Wave of Disposable Cameras,test.csv
"Ciena Posts a Loss, Forecasts Flat Sales",test.csv
U.S. Broadband Penetration Tops 51,test.csv
Ecuadorean Lawsuit Vs Texaco Boils Down to Science (Reuters),test.csv
"Priceline, Ramada to Make Sites More Accessible to Blind",test.csv
"Atlantis ""Evidence"" Found in Spain, Ireland",test.csv
"Groups Eager to Meet With Bush, Kerry (AP)",test.csv
Court: File-swapping software not liable for copyright violations,test.csv
Cisco Flaw Leaves Router Vulnerable to Attack,test.csv
Scientists Study the Hudson River (AP),test.csv
Study to Examine Effects of Ship Waste (AP),test.csv
"Apple recalls 28,000 batteries",test.csv
Genesis Spacecraft Prepares to Return to Earth with a Piece of the Sun,test.csv
Life without numbers in a unique Amazon tribe,test.csv
P2P Services in the Clear,test.csv
"Swap Your PC, or Your President",test.csv
Google scores first-day bump of 18 (USATODAY.com),test.csv
Understanding Google AdWords,test.csv
"Service packs, senators and civil liberties",test.csv
Dogs in Training to Sniff Out Cancer,test.csv
Report: Consumers tuning in to plasma TVs,test.csv
One in four servers to run Linux by 2008,test.csv
Apple Recalls Flaming 15-inch PowerBook G4 Battery,test.csv
Rosetta Mission Sniffing a Comet,test.csv
Video Game Makers Go Hollywood. Uh-Oh.,test.csv
Amazon to Buy Chinese Retailer Joyo.com,test.csv
Salesforce.com 2Q Profit Up Sharply,test.csv
PRESS START FOR NOSTALGIA,test.csv
Agency reports climate change major problem,test.csv
More Evidence for Past Water on Mars,test.csv
Wiretapping on the Net: Who pays?,test.csv
"Prototype copter-cam: Here, there, everywhere",test.csv
Stopping spam at the source,test.csv
New Fat-Busting Microwave Oven Unveiled,test.csv
Students crazy about iPod follow the music to Apple laptops (USATODAY.com),test.csv
Stunt pilots to snag a falling NASA craft,test.csv
Does Nick Carr matter?,test.csv
Windows Upgrade Causing Campus Headaches,test.csv
Intel cuts Pentium 4 prices,test.csv
Record biz hammers  #39;ostrich #39; downloaders,test.csv
Obesity Solution: Nuke It,test.csv
E-commerce still booming,test.csv
Lycos offers people and discussion search,test.csv
Wiretaps may mute Nextel rivals,test.csv
Partnership Connects Wi-Fi Users In The Sky,test.csv
EDS Is Charter Member of Siebel BPO Alliance (NewsFactor),test.csv
New Russian-US Team to Leave for ISS in October,test.csv
Obesity Raises Risk for 9 Different Types of Cancer,test.csv
Microsoft: Use Script to Block Windows XP SP2 Updates,test.csv
Cisco Buys IP Platform Maker,test.csv
SAP Gets \$35 Million Post Office Pact,test.csv
Intel drops prices on computer chips,test.csv
SAP Awarded \$35 Million Postal Service Contract,test.csv
 #39;Marathon mouse #39; doubles stamina,test.csv
Marathoning mice could have Olympian effects on obesity,test.csv
No IE? No Can See,test.csv
Iran shuts reformist websites,test.csv
Arctic team finds ship remains,test.csv
Vonage Calls on Linksys for VoIP,test.csv
Vonage Calls on Linksys for VoIP (PC World),test.csv
Intel slashes Itanium prices as Madison looms,test.csv
Martian Weather Blamed for Loss of Beagle 2,test.csv
Cisco Reaches High And Low,test.csv
Cisco to acquire P-Cube for \$200M,test.csv
Cisco and Microsoft Partner for CRM,test.csv
Apple Tops in Customer Satisfaction,test.csv
"Linksys, Netgear prep soho VoIP kit",test.csv
Tiny telescope detects a giant planet,test.csv
Playboy Posts Unused Google Excerpt to Web Site (Reuters),test.csv
