Tweets	partition	Topics
whaa frieden confirms amber vinson called cdc boarding plane denies id symptom despite report	train	0
body dumped street liberia battle contain disease urban area report htt	train	0
california usa orange fear treatment serum u ebola ou	train	0
pastor e adeboye speaks deadly ebola virus disease lagos report second case deadly e	train	0
window seat airline cleaning process prevent spread disease	train	0
dear republican disease like fully funded cdc appointed surgeon general h	train	0
authority patient extensive contact w man died disease	train	0
unless healthcare worker directly worked elbola patient risk airborne disease	train	0
canada test patient flu like symptom ebola	train	0
evidence based measure prevent transmission mandatory quarantine health personnel via	train	0
huge global danger disease exported crowded nation w weak pub health think asian sub continent talk glo	train	0
ann coulter refers africa disease ridden cesspool victim blaming ebola rant	train	0
people keep coming outrageous symptom relax people	train	0
national institute communicable disease say irresponsible post false comment ebola social ne	train	0
nigeria war ebola disease editorial afrika	train	0
patient symptom contagious cdc partner watching traveler w symptom	train	0
ignorance disease co know people refuse shake hand bcos ebola	train	0
video inside liberia ebola treatment centre following earlier denial liberia admitted suspecte	train	0
true hospital w racist agenda treatment duncan expa	train	0
folly mass quarantine especially disease like ebola	train	0
investor pump prospect unproven ebola treatment drug development	train	0
tryna ebola conscious many people hugged today	train	0
republican budget cut delayed vaccine amp treatment	train	0
love fact love city pumpkin fuckin contest thing many question	train	0
experimental ebola treatment produced genetically modified plant	train	0
uncontrolled vomiting fever explosive diarrhea symptom ebola also symptom recent trip pizza hut	train	0
news update ebola death camp unveiled liberia disease victim rounded removed	train	0
year old ebola treatment could save kent brantly	train	0
strike texas nurse test positive fatal disease story	train	0
president threat humanity	train	0
trying get contact someone authority relation ebola treatment please someone contact soon possible	train	0
unprofitable disease political economy life dy	train	0
aid tuskegee experiment swine flu mad cow disease ebola mcdonalds damn need proof evil	train	0
heartbreaking photo health worker hold baby infected treatment center monrovia h	train	0
disease considered known used weapon include anthrax ebola source	train	0
reading tweet word ebola virus	train	0
go ebola test immediately notice symptom	train	0
da difference btn n one n one	train	0
another lagos nurse show ebola symptom	train	0
ebola next big thing nigeria	train	0
pierce nose pierce nose question ce	train	0
exclusive follows infectious disease drill fact pm tonight htt	train	0
