_unit_id	_golden	_unit_state	_trusted_judgments	_last_judgment_at	please_choose_a_category:confidence	created_at	id_str	rownames	please_choose_a_category	text
1847304628	FALSE	finalized	3	08/05/2018 22:21	1	Thu Jul 05 20:50:28 +0000 2018	",1014974815764037632,"	94671	direct_eyewitness	"My state, everybody. Drought, fire, flood, hail, and tornados are possible in the same space at the same time. You https://t.co/mxKq9jPrnU"
1847305169	FALSE	finalized	3	08/05/2018 2:21	0.6466	Thu Jul 19 17:10:31 +0000 2018	",1019992896550985728,"	27005	direct_eyewitness	Somebody please shoot me!   I have been breaking my back to get all of the outside yard work done before the flood  https://t.co/Ew9mn54A4M
1847306041	FALSE	finalized	3	08/06/2018 9:08	0.651	Mon Jul 04 16:41:38 +0000 2016	",750006667492855808,"	26899	direct_eyewitness	It's fine. It's all fucking fine. I'm just a disgusting fuck. Ugh things were SO GOOD and here comes the fucking flood.
1847305020	FALSE	finalized	3	08/06/2018 2:27	1	Fri Jul 06 07:01:45 +0000 2018	",1015128653485826048,"	36719	direct_eyewitness	Every years we face lots of losses of crop and wealth just because of flood coming from Nepal. What out leaders are doing.
1847304613	FALSE	finalized	3	08/05/2018 20:24	1	Thu Jul 05 17:42:45 +0000 2018	",1014927577105010690,"	76853	direct_eyewitness	insurance in this country is a scam. just got a phone call denying my claim for the house damages from the flood.
1847304229	FALSE	finalized	4	08/05/2018 1:07	0.7458	Thu Jul 05 00:38:43 +0000 2018	",1014669869466386437,"	8566	direct_eyewitness	Kristen5K It sucks that it only rain for 3hrs and most of our heavy traffic areas are flooded
1847305699	FALSE	finalized	3	08/05/2018 20:27	0.6832	Thu Jun 21 21:41:06 +0000 2018	",1009914131649105920,"	21445	direct_eyewitness	"the other day I was with my bf. We hit high water, his car started to flood, and the very first thing he grabbed wi  https://t.co/MPy1x5YLwt"
1847304252	FALSE	finalized	5	08/05/2018 2:20	0.8003	Thu Jul 05 01:11:00 +0000 2018	",1014677995225796608,"	10995	direct_eyewitness	"It is pouring down rain, so much my yard is starting to flood and there are people outside shooting off fireworks.  https://t.co/JF7mqnvPQE"
1847305028	FALSE	finalized	3	08/06/2018 2:02	0.3448	Fri Jul 06 09:12:33 +0000 2018	",1015161570190479361,"	43284	direct_eyewitness	when the ocean rise and thunders roar i will soar with you above the storm father you are king over the flood i wil  https://t.co/n8tAtLA337
1847305500	FALSE	finalized	3	08/05/2018 21:16	1	Fri Jun 22 02:22:20 +0000 2018	",1009984906020212736,"	53344	direct_eyewitness	I think the fact that my neighborhood was one of the lucky ones that survived this flood proves that the simulation  https://t.co/BO1bzbi8nr
1847305312	FALSE	finalized	4	08/05/2018 4:03	0.51	Thu Jul 19 21:41:25 +0000 2018	",1020061070398914560,"	76991	direct_eyewitness	Wow my alarm rings in 30 minutes. Haha thanks tho I don t wanna wade in flood and leptospirosis today
1847306005	FALSE	finalized	3	08/06/2018 3:04	0.6885	Mon Jul 04 21:24:30 +0000 2016	",750077850561183744,"	36904	direct_eyewitness	Okay this storm is all torrential... shit. Basement might flood. Dammit! My epic wicked witchy weather ways may have gone too far! 
1847305485	FALSE	finalized	3	08/06/2018 9:24	0.6275	Thu Jun 21 22:26:22 +0000 2018	",1009925521881300992,"	26124	direct_eyewitness	Love how my Valley natives make the best out of a flood! #PuroRGV #VivaLaRaza
1847305099	FALSE	finalized	5	08/06/2018 2:00	1	Thu Jul 19 15:49:08 +0000 2018	",1019972415571587072,"	13043	direct_eyewitness	We're a family pulled from a flood
1847305657	FALSE	finalized	3	08/05/2018 22:40	0.6522	Thu Jun 21 20:10:39 +0000 2018	",1009891367043108865,"	12475	direct_eyewitness	 MissXoh We've had storms the past week too and been in flood warnings. Love it!! I like Carl 
1847305811	FALSE	finalized	3	08/06/2018 3:04	0.6885	Sun Jul 29 22:30:01 +0000 2018	",1023697177875505152,"	10426	direct_eyewitness	I think flood waters r rising at 1600 Pennsylvania Ave. #EndisNear
1847304271	FALSE	finalized	3	08/06/2018 9:29	0.3522	Thu Jul 05 01:51:18 +0000 2018	",1014688138965454848,"	13753	direct_eyewitness	TopherSpiro  JoltedToad The flood is coming  But it will not be Mr. Waters https://t.co/eXUseo7ius
1847305400	FALSE	finalized	3	08/05/2018 2:06	0.6462	Thu Jun 21 19:13:27 +0000 2018	",1009876971893948416,"	6922	direct_eyewitness	My neighborhood is still flooded... What a bad time to crave  Whataburger Patty melt! Anyone in Edinburg with a tru  https://t.co/DmFmtGs3Ax
1847304129	FALSE	finalized	4	08/05/2018 3:41	0.7401	Wed Jul 04 23:16:32 +0000 2018	",1014649188666179584,"	2263	direct_eyewitness	intoooo the flood agaaaaain
1847304756	FALSE	finalized	3	08/06/2018 12:14	1	Fri Jul 06 22:50:17 +0000 2018	",1015367359580790785,"	125240	direct_eyewitness	What a storm here in #daltonga #storm #rain #lightning #thunder #flooding #StormWatchOn2 #northga https://t.co/tB5wgzrUil
1847304956	FALSE	finalized	3	08/06/2018 2:16	0.6875	Fri Jul 06 12:49:08 +0000 2018	",1015216072390336512,"	59948	direct_eyewitness	"Football League soup breaking the 6 months the flood, i watch the world."
